Company,Job_Titles,Location,Skills
Episodiclabs Private Limited,Deep Learning Research,Ahmedabad,"['Python', 'TensorFlow', 'Keras', 'PyTorch', 'NumPy', 'CNN']"
Beauty Secrets,Web Development,Work From Home,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Hegde Design And Construction,3D Graphic Design (Interior Design),Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Goteso,HR Recruitment,Mohali,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'Interviewing']"
Truecaller International,Backend Development,Bangalore,"['Python', 'Node.js', 'SQL', 'REST API', 'Django', 'Git']"
Sanguine Capital,Digital Marketing,Faridabad,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Cook With Parul,Video Making/Editing,Bangalore,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Scienxt Ceter Of Excellence,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Uptownie,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Momspresso,Video Production,Gurgaon,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Digital Network World,Mobile App Development,Work From Home,"['Android', 'iOS', 'Flutter', 'Java', 'Kotlin', 'Firebase']"
Kognoz Research & Consulting Private Limited,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Kapwise Technologies,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Soham Enterprise,Business Development (Sales),Surat,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Sigillieum Software Consultants Private Limited,Python/machine Learning,Chennai,"['Python', 'Scikit-learn', 'TensorFlow', 'NumPy', 'Pandas', 'ML Algorithms']"
Confederation Of Young Leaders (CYL),Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Smoking Dog Entertainment Private Limited,Social Media Marketing,Mumbai,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
EyeROV (IROV Technologies Private Limited),Machine/Computer Vision,Kochi,"['Python', 'OpenCV', 'TensorFlow', 'NumPy', 'Image Processing']"
Levycon India Private Limited,Human Resources (HR),Gurgaon,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Net Avenue Technologies,IT Project Coordination,Chennai,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Arbor Research India,UI/UX Design,Work From Home,"['Figma', 'Adobe XD', 'Wireframing', 'Prototyping', 'User Research']"
Simnovus Tech Private Limited,Social Media Marketing,Bangalore,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
Blaze Media,Business Development (Sales),Mohali,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
CHANNELMILL LLP,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
GetMega,Operations,Bangalore,"['MS Excel', 'Communication', 'Project Management', 'Data Analysis', 'Coordination']"
OpsEazy,Business Development (Sales),Chennai,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Devlofox Technologies LLP,Business Development (Sales),Delhi,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Neelman Industries India Private Limited,Fundraising,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Global Market Insights Research Private Limited,Content Writing,Pune,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
iOSys Data Solutions Private Limited,Content Writing,Bangalore,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
UnivLabs,Embedded Systems,Gurgaon,"['C', 'C++', 'Arduino', 'Raspberry Pi', 'Electronics', 'RTOS']"
Levycon India Private Limited,Web Development,Gurgaon,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
The Digital Darzi,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
1ml Healthcare Services Private Limited,Mobile App Development,Delhi,"['Android', 'iOS', 'Flutter', 'Java', 'Kotlin', 'Firebase']"
NoBroker,Finance,Chennai,"['MS Excel', 'Financial Modeling', 'Accounting', 'Tally', 'Data Analysis']"
PakkaIndia,Web Development,Work From Home,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Candent SEO,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
CloudEye Technologies India Private Limited,Digital Marketing,Visakhapatnam,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Fundscoop Advisors Private Limited,Marketing,Kolkata,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
JIVASO INTERNATIONAL,Social Media Marketing,Work From Home,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
TimesNext Media Private Limited,Human Resources (HR),Work From Home,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
SkillSanta,Human Resources (HR),Work From Home,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Fliqaindia Private Limited,Digital Marketing,Work From Home,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Nitin Goyal,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
NeoDocto Incorporated,Human Resources (HR),Chennai,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
WeddingsOnly,Social Media Marketing,Jaipur,"['Instagram', 'Facebook', 'Content Creation', 'Analytics', 'Canva']"
CorsetsNmore,Digital Marketing,Faridabad,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Infinity Pumps & Systems Private Limited,Industrial And Production Engineering,Ghaziabad,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
Yantraksh Logistics Private Limited,Web Development,Delhi,"['HTML', 'CSS', 'JavaScript', 'React', 'Bootstrap', 'Git']"
Mobile Mode Gaming,Video Editor,Work From Home,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
GKB Labs LLP,Marketing,Hyderabad,"['Market Research', 'Communication', 'MS Excel', 'SEO', 'Analytics']"
Aester India Private Limited,Python Development,Kochi,"['Python', 'Django', 'Flask', 'SQL', 'Git', 'REST API']"
Social Eyes,Content Writing,Delhi,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
SuprStart Ventures LLP,Business Development (Sales),Work From Home,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
CodeNicely Software Services LLP,Content Writing,Raipur,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
FourthPointer Services,Graphic Design,Noida,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
Careersanta,Business Development (Sales),Pune,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Yellow Rentals,Telecommunication Operations,Delhi,"['MS Excel', 'Communication', 'Project Management', 'Data Analysis', 'Coordination']"
ABC Recruiters,Human Resources (HR),Pune,"['Communication', 'MS Excel', 'Recruitment', 'MS Office', 'HR Management']"
Pocket FM,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Travel Raga Holidays Private Limited,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Wallrx,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Protrainy Skilled Learning Private Limited,Business Development (Sales),Work From Home,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Evogue Media LLP,Content Writing,Thane,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Conceptualise,Business Development (Sales),Gurgaon,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Coursack Software Solutions Private Limited,Digital Marketing,Work From Home,"['SEO', 'Google Ads', 'Social Media', 'Content Marketing', 'Analytics']"
Sketch To Reality LLP,Fashion Design,Noida,"['Communication', 'MS Office', 'Problem Solving', 'Teamwork', 'Time Management']"
The Go-To Guy Consulting Services,Business Development (Sales),Hyderabad,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
Awesome Firms,Business Development (Sales),Chennai,"['Communication', 'MS Excel', 'Market Research', 'CRM', 'Sales']"
California Medical Behavioral Health,Content Writing,Work From Home,"['Writing', 'SEO', 'Research', 'WordPress', 'Copywriting']"
Code Serve,Graphic Design,Work From Home,"['Adobe Photoshop', 'Illustrator', 'Canva', 'Typography', 'Color Theory']"
